BOARD Text Code,BOARD Text,BOARD,TYPE Text Code,TYPE Text,TYPE
Funeral Directors - EM,Funeral Directors ,EM,Type 6 - 6,Type 6 ,6
Funeral Directors - FE,Funeral Directors ,FE,Funeral Establishment - FE,Funeral Establishment ,FE
Health Officers - HO,Health Officers ,HO,Certified Health Officer - HO,Certified Health Officer ,HO
Hearing Instrument - HE,Hearing Instrument ,HE,Apprentice - A,Apprentice ,A
Hearing Instrument - HE,Hearing Instrument ,HE,Specialist - 1,Specialist ,1
Home Inspector - HI,Home Inspector ,HI,Home Inspector - 1,Home Inspector ,1
Home Inspector - HI,Home Inspector ,HI,Home Inspector Associate - 2,Home Inspector Associate ,2
Landscape Architects - LA,Landscape Architects ,LA,Landscape Architect - LA,Landscape Architect ,LA
Massage Therapy - MT,Massage Therapy ,MT,Massage Therapist - MT,Massage Therapist ,MT
Massage Therapy - MT,Massage Therapy ,MT,Multiple Massage Establishment - MM,Multiple Massage Establishment ,MM
Massage Therapy - MT,Massage Therapy ,MT,Solo Massage Establishment - MF,Solo Massage Establishment ,MF
Occupational Schools - OS,Occupational Schools ,OS,Sales Representative - SR,Sales Representative ,SR
Occupational Schools - OS,Occupational Schools ,OS,School - NP,School ,NP
Occupational Schools - OS,Occupational Schools ,OS,School - P,School ,P
Optometry - OP,Optometry ,OP,Optometrist - DPA,Optometrist ,DPA
Optometry - OP,Optometry ,OP,Optometrist - OP,Optometrist ,OP
Optometry - OP,Optometry ,OP,Optometrist - TPA,Optometrist ,TPA
Plumbers and Gas Fitters - GF,Plumbers and Gas Fitters ,GF,Gas Fitter Apprentice - A,Gas Fitter Apprentice ,A
Plumbers and Gas Fitters - GF,Plumbers and Gas Fitters ,GF,Gas Fitter Business - C,Gas Fitter Business ,C
Plumbers and Gas Fitters - GF,Plumbers and Gas Fitters ,GF,Gas Fitter Journeyman - J,Gas Fitter Journeyman ,J
Plumbers and Gas Fitters - GF,Plumbers and Gas Fitters ,GF,Gas Fitter Master - M,Gas Fitter Master ,M
Plumbers and Gas Fitters - GF,Plumbers and Gas Fitters ,GF,Gas Fitter Master - MI,Gas Fitter Master ,MI
Plumbers and Gas Fitters - GF,Plumbers and Gas Fitters ,GF,Inspector - IN,Inspector ,IN
Plumbers and Gas Fitters - GF,Plumbers and Gas Fitters ,GF,LP Installer - LP,LP Installer ,LP
Plumbers and Gas Fitters - GF,Plumbers and Gas Fitters ,GF,LTD LP Installer - LT,LTD LP Installer ,LT
Plumbers and Gas Fitters - PL,Plumbers and Gas Fitters ,PL,Apprentice - A,Apprentice ,A
Plumbers and Gas Fitters - PL,Plumbers and Gas Fitters ,PL,Business - C,Business ,C
Plumbers and Gas Fitters - PL,Plumbers and Gas Fitters ,PL,Business - P,Business ,P
Plumbers and Gas Fitters - PL,Plumbers and Gas Fitters ,PL,Inspector - IN,Inspector ,IN
Plumbers and Gas Fitters - PL,Plumbers and Gas Fitters ,PL,Journeyman - J,Journeyman ,J
Plumbers and Gas Fitters - PL,Plumbers and Gas Fitters ,PL,Journeyman - JI,Journeyman ,JI
Plumbers and Gas Fitters - PL,Plumbers and Gas Fitters ,PL,Master - M,Master ,M
Plumbers and Gas Fitters - PL,Plumbers and Gas Fitters ,PL,Master - MI,Master ,MI
Podiatry - PD,Podiatry ,PD,Podiatrist - PD,Podiatrist ,PD
Podiatry - PD,Podiatry ,PD,Podiatrist Limited License - LL,Podiatrist Limited License ,LL
Psychologist - PY,Psychologist ,PY,Psychologist - NP,Psychologist ,NP
Psychologist - PY,Psychologist ,PY,Psychologist - PR,Psychologist ,PR
Psychologist - PY,Psychologist ,PY,Psychologist - PY,Psychologist ,PY
Public Accountancy - CA,Public Accountancy ,CA,CPA - CA,CPA ,CA
Public Accountancy - CA,Public Accountancy ,CA,CPA - PA,CPA ,PA
Public Accountancy - CA,Public Accountancy ,CA,CPA Firm for Business Corp - BC,CPA Firm for Business Corp ,BC
Public Accountancy - CA,Public Accountancy ,CA,CPA Firm for LLC - LC,CPA Firm for LLC ,LC
Public Accountancy - CA,Public Accountancy ,CA,CPA Firm for Partnership - P,CPA Firm for Partnership ,P
Public Accountancy - CA,Public Accountancy ,CA,CPA Firm for Partnership - PAP,CPA Firm for Partnership ,PAP
Public Accountancy - CA,Public Accountancy ,CA,CPA Firm for Professional Corp - C,CPA Firm for Professional Corp ,C
Public Accountancy - CA,Public Accountancy ,CA,CPA Firm for Professional Corp - PAC,CPA Firm for Professional Corp ,PAC
Public Accountancy - CA,Public Accountancy ,CA,CPA Firm License for LLP - LP,CPA Firm License for LLP ,LP
Radio and TV Technician - TV,Radio and TV Technician ,TV,Master Technician - 1,Master Technician ,1
Radio and TV Technician - TV,Radio and TV Technician ,TV,Registered Technician - 2,Registered Technician ,2
Real Estate - 24,Real Estate ,24,Broker - ,Broker ,
Real Estate - RE,Real Estate ,RE,Broker - AB,Broker ,AB
Real Estate - RE,Real Estate ,RE,Broker - B,Broker ,B
Real Estate - RE,Real Estate ,RE,Broker - RB,Broker ,RB
Real Estate - RE,Real Estate ,RE,Business - C,Business ,C
Real Estate - RE,Real Estate ,RE,Business - LC,Business ,LC
Real Estate - RE,Real Estate ,RE,Business - LP,Business ,LP
Real Estate - RE,Real Estate ,RE,Business - PC,Business ,PC
Real Estate - RE,Real Estate ,RE,Business - PG,Business ,PG
Real Estate - RE,Real Estate ,RE,Business - PL,Business ,PL
Real Estate - RE,Real Estate ,RE,Salesperson - RS,Salesperson ,RS
Real Estate - RE,Real Estate ,RE,Salesperson - S,Salesperson ,S
Real Estate - RE,Real Estate ,RE,School - SC,School ,SC
Real Estate Appraiser - RA,Real Estate Appraiser ,RA,Appraiser - CG,Appraiser ,CG
Real Estate Appraiser - RA,Real Estate Appraiser ,RA,Appraiser - CR,Appraiser ,CR
Real Estate Appraiser - RA,Real Estate Appraiser ,RA,Appraiser - LA,Appraiser ,LA
Real Estate Appraiser - RA,Real Estate Appraiser ,RA,Appraiser - TA,Appraiser ,TA
Real Estate Appraiser - RA,Real Estate Appraiser ,RA,Temporary Appraiser - TP,Temporary Appraiser ,TP
Real Estate Appraiser - RA,Real Estate Appraiser ,RA,Trainee - TR,Trainee ,TR
Sanitarian - SA,Sanitarian ,SA,Sanitarian - SA,Sanitarian ,SA
Sheet Metal - SM,Sheet Metal ,SM,Apprentice - A,Apprentice ,A
Sheet Metal - SM,Sheet Metal ,SM,Business License - B,Business License ,B
Sheet Metal - SM,Sheet Metal ,SM,Instructor - I,Instructor ,I
Sheet Metal - SM,Sheet Metal ,SM,Journeyperson - J1,Journeyperson ,J1
Sheet Metal - SM,Sheet Metal ,SM,Journeyperson - J2,Journeyperson ,J2
